,term,lucy,susan,dorothy,wendy,alice
0,saw,-----,-----,XXXXX,XXXXX,-----
1,picked,-----,-----,XXXXX,-----,-----
2,story,-----,-----,-----,XXXXX,-----
3,queen,XXXXX,XXXXX,-----,-----,-----
4,exclaimed,-----,-----,XXXXX,-----,XXXXX
5,went,-----,-----,XXXXX,-----,XXXXX
6,little,-----,-----,-----,-----,XXXXX
7,returned,-----,-----,XXXXX,-----,-----
8,asked,XXXXX,XXXXX,XXXXX,-----,XXXXX
9,could,XXXXX,-----,XXXXX,XXXXX,XXXXX
10,presently,-----,XXXXX,-----,-----,-----
11,together,-----,-----,-----,-----,XXXXX
12,heard,-----,-----,-----,-----,XXXXX
13,thought,XXXXX,-----,XXXXX,-----,XXXXX
14,answered,-----,-----,XXXXX,-----,-----
15,began,-----,-----,-----,-----,XXXXX
16,lady,-----,-----,-----,XXXXX,-----
17,walked,-----,-----,XXXXX,-----,-----
18,waited,-----,-----,-----,-----,XXXXX
19,wendy,-----,-----,-----,XXXXX,-----
20,whispered,-----,XXXXX,-----,-----,-----
21,put,-----,-----,XXXXX,-----,-----
22,hastily,-----,-----,-----,-----,XXXXX
23,mother,-----,-----,-----,XXXXX,-----
24,said,XXXXX,XXXXX,XXXXX,XXXXX,XXXXX
25,poor,-----,-----,-----,-----,XXXXX
26,peter,-----,XXXXX,-----,-----,-----
27,last,XXXXX,-----,-----,-----,-----
28,ventured,-----,-----,-----,-----,XXXXX
29,sat,-----,-----,XXXXX,-----,-----
30,felt,-----,-----,-----,-----,XXXXX
31,replied,-----,-----,XXXXX,-----,XXXXX
32,must,-----,-----,-----,-----,XXXXX
33,indignantly,-----,-----,-----,-----,XXXXX
34,caterpillar,-----,-----,-----,-----,XXXXX
35,suddenly,XXXXX,-----,-----,-----,-----
36,came,-----,-----,-----,XXXXX,-----
37,looked,XXXXX,-----,XXXXX,-----,XXXXX
38,would,-----,-----,XXXXX,XXXXX,-----
39,rather,-----,-----,-----,-----,XXXXX
40,quite,-----,-----,-----,-----,XXXXX
41,stood,-----,-----,XXXXX,-----,-----
42,see,-----,-----,-----,XXXXX,-----
43,cried,XXXXX,-----,XXXXX,XXXXX,XXXXX
44,well,XXXXX,-----,-----,-----,-----
45,moment,XXXXX,-----,-----,XXXXX,-----
46,says,-----,-----,-----,XXXXX,-----
47,knew,-----,-----,-----,XXXXX,-----
48,found,XXXXX,-----,XXXXX,-----,-----
